timestamp,node_id,role
877.047576,16,2: CLUSTER_HEAD
882.046697,8,4: REGISTERED
891.092687,14,4: REGISTERED
906.092532,5,5: UNREGISTERED
926.092686,5,4: REGISTERED
952.046393,17,5: UNREGISTERED
972.046592,17,4: REGISTERED
1342.687042,1,5: UNREGISTERED
1343.794939,2,5: UNREGISTERED
1362.687240,1,4: REGISTERED
1363.795066,2,4: REGISTERED
1406.092498,14,5: UNREGISTERED
1426.092687,14,4: REGISTERED
1461.092532,5,5: UNREGISTERED
1481.092686,5,4: REGISTERED
1878.794939,2,5: UNREGISTERED
1887.687042,1,5: UNREGISTERED
1898.795066,2,4: REGISTERED
1907.687240,1,4: REGISTERED
1941.092498,14,5: UNREGISTERED
1966.092691,14,4: REGISTERED
2006.092532,5,5: UNREGISTERED
2026.092686,5,4: REGISTERED
2428.794939,2,5: UNREGISTERED
2432.687042,1,5: UNREGISTERED
2448.795066,2,4: REGISTERED
2452.687240,1,4: REGISTERED
2473.796005,2,3: ROUTER
2473.796063,3,2: CLUSTER_HEAD
2481.092546,14,5: UNREGISTERED
2501.092735,14,4: REGISTERED
2546.092532,5,5: UNREGISTERED
2566.092686,5,4: REGISTERED
2977.687042,1,5: UNREGISTERED
2997.687240,1,4: REGISTERED
3016.092498,14,5: UNREGISTERED
3017.688179,1,3: ROUTER
3017.688277,0,2: CLUSTER_HEAD
3041.092687,14,4: REGISTERED
3081.092532,5,5: UNREGISTERED
3101.092686,5,4: REGISTERED
3556.092498,14,5: UNREGISTERED
3576.092687,14,4: REGISTERED
3621.092532,5,5: UNREGISTERED
3641.092686,5,4: REGISTERED
4091.092498,14,5: UNREGISTERED
4111.092687,14,4: REGISTERED
4156.092532,5,5: UNREGISTERED
4626.092498,14,5: UNREGISTERED
4646.092687,14,4: REGISTERED
4686.092606,13,5: UNREGISTERED
4686.092675,12,5: UNREGISTERED
4706.092724,13,4: REGISTERED
4726.092584,4,5: UNREGISTERED
5166.092498,14,5: UNREGISTERED
5196.092691,14,4: REGISTERED
5206.092730,11,5: UNREGISTERED
5216.092742,20,5: UNREGISTERED
5221.092606,13,5: UNREGISTERED
5226.093519,19,3: ROUTER
5226.093596,11,2: CLUSTER_HEAD
5231.092784,12,4: REGISTERED
5236.092872,20,4: REGISTERED
5721.092498,14,5: UNREGISTERED
5746.092609,12,5: UNREGISTERED
5746.092691,14,4: REGISTERED
5766.092718,12,4: REGISTERED
5841.092691,20,5: UNREGISTERED
5861.092820,20,4: REGISTERED
5916.093675,20,3: ROUTER
5916.093760,13,2: CLUSTER_HEAD
5929.421552,21,5: UNREGISTERED
5936.092681,5,4: REGISTERED
5949.421671,21,4: REGISTERED
6029.421465,22,5: UNREGISTERED
6054.421596,22,4: REGISTERED
6266.092498,14,5: UNREGISTERED
6286.092675,12,5: UNREGISTERED
6286.092691,14,4: REGISTERED
6306.092784,12,4: REGISTERED
6321.093730,12,3: ROUTER
6321.093815,4,2: CLUSTER_HEAD
