node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
52,63,91.078848,CLUSTER_HEAD,5,727.4644762007234
52,62,79.170248,CLUSTER_HEAD,6,747.4654455307993
53,54,94.043594,CLUSTER_HEAD,3,687.4629213631321
53,63,91.078848,CLUSTER_HEAD,5,727.4644762007234
54,55,83.246661,CLUSTER_HEAD,4,707.4636081111574
55,65,82.658723,REGISTERED,5,727.4643820295087
55,64,91.078848,CLUSTER_HEAD,5,727.4644229571607
56,57,85.532262,REGISTERED,4,720.9940863065545
56,66,82.658723,REGISTERED,4,727.4639033610956
56,67,96.954595,CLUSTER_HEAD,4,727.4639549550401
57,66,82.658723,REGISTERED,4,727.4639033610956
57,67,96.954595,CLUSTER_HEAD,4,727.4639549550401
58,59,60.523387,REGISTERED,6,660.9960535163059
58,68,98.404773,CLUSTER_HEAD,6,667.4660570522959
60,61,97.368943,CLUSTER_HEAD,7,687.4673987361014
60,70,94.082561,CLUSTER_HEAD,8,707.4687454561052
61,70,94.082561,CLUSTER_HEAD,8,707.4687454561052
61,71,90.009824,REGISTERED,8,707.4688439204078
62,63,91.078848,CLUSTER_HEAD,5,727.4644762007234
62,73,79.023920,CLUSTER_HEAD,6,747.4654760022028
62,72,81.293859,CLUSTER_HEAD,7,667.4666113571317
63,64,91.078848,CLUSTER_HEAD,5,727.4644229571607
63,73,79.023920,CLUSTER_HEAD,6,747.4654760022028
64,65,82.658723,REGISTERED,5,727.4643820295087
64,75,84.860268,REGISTERED,6,747.465397978113
64,74,77.783198,CLUSTER_HEAD,6,747.465391829276
65,66,82.658723,REGISTERED,4,727.4639033610956
65,75,84.860268,REGISTERED,6,747.465397978113
66,67,96.954595,CLUSTER_HEAD,4,727.4639549550401
67,77,98.404773,CLUSTER_HEAD,5,747.4649209082978
67,76,94.967928,CLUSTER_HEAD,5,747.4649193704156
67,78,96.954595,REGISTERED,5,747.4649331454056
68,78,96.954595,REGISTERED,5,747.4649331454056
68,77,98.404773,CLUSTER_HEAD,5,747.4649209082978
68,69,77.248331,REGISTERED,7,687.4673456861617
69,79,95.882569,REGISTERED,7,687.4673416381049
70,71,90.009824,REGISTERED,8,707.4688439204078
70,80,93.974715,REGISTERED,9,727.470321447981
71,81,98.495552,CLUSTER_HEAD,9,707.4693231201514
72,73,79.023920,CLUSTER_HEAD,6,747.4654760022028
72,83,93.223017,REGISTERED,7,667.4666332012738
72,82,82.970083,CLUSTER_HEAD,8,687.467882585931
73,83,93.223017,REGISTERED,7,667.4666332012738
74,75,84.860268,REGISTERED,6,747.465397978113
74,84,93.423226,CLUSTER_HEAD,7,667.4664797750213
75,84,93.423226,CLUSTER_HEAD,7,667.4664797750213
76,77,98.404773,CLUSTER_HEAD,5,747.4649209082978
76,86,81.789541,CLUSTER_HEAD,6,667.4660365943471
