timestamp,node_id,send_receive,create_time,receive_time,packet
18.628964,20,send,18.628963891918303,-1,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 18.628963891918303}"
18.628990,36,receive,18.628891349628837,18.62899030764809,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 18.628891349628837, 'receive_time': 18.62899030764809}"
18.629036,29,receive,18.628963891918303,18.62903643420777,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 18.628963891918303, 'receive_time': 18.62903643420777}"
18.629036,29,send,18.62903643420777,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 18.62903643420777}"
18.629053,19,receive,18.628963891918303,18.62905303710324,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 18.628963891918303, 'receive_time': 18.62905303710324}"
18.629109,20,receive,18.62903643420777,18.629108976497236,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 18.62903643420777, 'receive_time': 18.629108976497236}"
18.629109,20,send,18.629108976497236,-1,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 18.629108976497236}"
18.629135,36,receive,18.62903643420777,18.62913539222702,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 18.62903643420777, 'receive_time': 18.62913539222702}"
18.629182,29,receive,18.629108976497236,18.6291815187867,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 18.629108976497236, 'receive_time': 18.6291815187867}"
18.629198,19,receive,18.629108976497236,18.629198121682172,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 18.629108976497236, 'receive_time': 18.629198121682172}"
19.599135,31,send,19.599135310160353,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 19.599135310160353}"
19.631299,24,send,19.63129909817649,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 19.63129909817649}"
20.266957,0,send,20.266957063090896,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 20.266957063090896}"
20.599135,31,send,20.599135310160353,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 20.599135310160353}"
20.631299,24,send,20.63129909817649,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 20.63129909817649}"
21.266957,0,send,21.266957063090896,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 21.266957063090896}"
21.599135,31,send,21.599135310160353,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 21.599135310160353}"
21.631299,24,send,21.63129909817649,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 21.63129909817649}"
22.266957,0,send,22.266957063090896,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 22.266957063090896}"
22.599135,31,send,22.599135310160353,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 22.599135310160353}"
22.631299,24,send,22.63129909817649,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 22.63129909817649}"
23.266957,0,send,23.266957063090896,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 23.266957063090896}"
23.599135,31,send,23.599135310160353,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 23.599135310160353}"
23.624833,27,send,23.62483328403153,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 23.62483328403153}"
23.624918,19,receive,23.62483328403153,23.624918091980163,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 23.62483328403153, 'receive_time': 23.624918091980163}"
23.631299,24,send,23.63129909817649,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 23.63129909817649}"
24.266957,0,send,24.266957063090896,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 24.266957063090896}"
24.599135,31,send,24.599135310160353,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 24.599135310160353}"
24.624833,27,send,24.62483328403153,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 24.62483328403153}"
24.624909,28,receive,24.62483328403153,24.62490867576084,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 24.62483328403153, 'receive_time': 24.62490867576084}"
24.624918,19,receive,24.62483328403153,24.624918091980163,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 24.62483328403153, 'receive_time': 24.624918091980163}"
24.631299,24,send,24.63129909817649,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 24.63129909817649}"
25.266957,0,send,25.266957063090896,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 25.266957063090896}"
25.544249,28,send,25.54424855268007,-1,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 25.54424855268007}"
25.544311,36,receive,25.54424855268007,25.544311081752227,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 25.54424855268007, 'receive_time': 25.544311081752227}"
25.544324,27,receive,25.54424855268007,25.544323944409378,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 25.54424855268007, 'receive_time': 25.544323944409378}"
25.544326,29,receive,25.54424855268007,25.544326194700858,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 25.54424855268007, 'receive_time': 25.544326194700858}"
25.544341,20,receive,25.54424855268007,25.544340963616428,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 25.54424855268007, 'receive_time': 25.544340963616428}"
25.544341,20,send,25.544340963616428,-1,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 25.544340963616428}"
25.544414,29,receive,25.544340963616428,25.544413505905894,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 25.544340963616428, 'receive_time': 25.544413505905894}"
25.544430,19,receive,25.544340963616428,25.544430108801365,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 20, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (496.9349269253817, 512.6478805808823), 'networks': set(), 'ttl': 15, 'parent': None, 'root_addr': [1,254], 'create_time': 25.544340963616428, 'receive_time': 25.544430108801365}"
