clusterhead_1,clusterhead_2,distance
26,44,187.485694
26,45,148.006588
26,46,135.088317
26,47,171.116155
26,49,313.681210
26,50,483.912783
26,52,350.931973
26,53,273.985589
26,54,240.717508
26,55,250.368271
26,56,220.966383
26,60,517.660287
26,61,455.480450
26,62,381.771847
26,63,341.630367
26,64,330.124204
26,67,311.889828
26,68,363.105221
26,70,542.368488
26,72,447.480274
26,73,407.224131
26,74,398.699470
26,76,382.313918
26,77,394.291656
26,81,564.569778
26,82,507.207194
26,84,441.176804
26,86,461.231509
26,87,461.854998
26,88,464.646682
26,89,528.462002
26,94,520.431989
27,28,93.959227
27,31,440.153745
27,32,360.565127
27,33,304.665779
27,34,208.770408
27,35,133.151873
27,36,68.350735
27,37,77.172111
27,38,138.466342
27,39,207.852408
27,41,455.442131
27,44,234.286321
27,45,183.617284
27,46,147.341585
27,47,156.123448
27,49,264.648158
27,50,538.905185
27,52,398.119258
27,53,317.467339
27,54,277.476764
27,55,272.073378
27,56,218.938436
27,60,569.778255
27,61,505.162399
27,62,423.569027
27,63,379.291889
27,64,354.852723
27,67,300.791012
27,68,335.013197
27,70,589.422754
27,72,484.337557
27,73,440.457988
27,74,417.204613
27,76,378.443168
27,77,379.982102
27,81,603.845943
27,82,542.301944
27,84,458.793478
27,86,459.615324
27,87,449.813744
27,88,445.010644
27,89,501.721602
27,94,533.841256
28,31,533.720418
28,32,453.688318
28,33,398.237480
28,34,301.999586
28,35,223.809849
28,36,153.205357
28,37,105.791978
28,38,75.309168
28,39,133.255709
28,41,547.443877
28,44,319.613703
28,45,261.859354
28,46,208.672586
28,47,182.766651
28,49,206.048657
28,50,629.217341
28,52,481.323292
28,53,398.085962
28,54,352.486947
28,55,331.315831
28,56,253.305469
28,60,657.098205
28,61,590.177689
28,62,500.793719
28,63,452.688735
28,64,414.064577
28,67,314.085887
28,68,316.930885
28,70,671.122710
28,72,555.154711
28,73,507.672501
28,74,466.717943
28,76,398.236040
28,77,383.354252
28,81,676.326970
28,82,610.291714
28,84,506.025151
28,86,479.675556
28,87,453.988408
28,88,436.776587
28,89,479.320711
28,94,573.669563
31,32,81.959278
31,33,135.493003
31,34,231.868150
31,35,312.694299
31,36,384.860790
31,37,458.054638
31,38,557.396119
31,39,622.781741
31,41,57.441221
31,44,243.671599
31,45,308.990915
31,46,378.565335
31,47,450.949264
31,49,646.158731
31,50,139.253985
31,52,185.361212
31,53,225.115842
31,54,273.923710
31,55,349.036323
31,56,433.717195
31,60,200.567214
31,61,188.389624
31,62,241.674912
31,63,267.008817
31,64,349.825165
31,67,510.523717
31,68,611.589881
31,70,273.546661
31,72,310.250993
31,73,320.446925
31,74,414.607657
31,76,522.587043
31,77,577.725588
31,81,362.065039
31,82,358.668397
31,84,442.994967
31,86,563.826366
31,87,616.348578
31,88,654.296021
31,89,739.635610
31,94,519.660271
32,33,57.935489
32,34,151.794743
32,35,231.453548
32,36,303.650683
32,37,376.222018
32,38,475.664733
32,39,540.859247
32,41,99.576661
32,44,163.575099
32,45,228.006661
32,46,297.256467
32,47,369.881947
32,49,564.622826
32,50,190.613577
32,52,149.952490
32,53,160.589577
32,54,202.495092
32,55,277.470671
32,56,355.909892
32,60,239.452253
32,61,200.845543
32,62,209.422842
32,63,218.813320
32,64,291.157646
32,67,436.557911
32,68,535.157994
32,70,294.497172
32,72,286.601841
32,73,283.212175
32,74,362.338542
32,76,455.878566
32,77,507.321383
32,81,363.762653
32,82,342.880102
32,84,395.476466
32,86,504.092134
32,87,550.620701
32,88,584.874176
32,89,669.006279
32,94,476.778992
33,34,96.602114
33,35,178.314656
33,36,250.221922
33,37,325.016112
33,38,423.693310
33,39,490.161354
33,41,157.313989
33,44,128.592863
33,45,187.030084
33,46,253.700300
33,47,326.620928
33,49,518.549491
33,50,247.653233
33,52,175.977905
33,53,156.595928
33,54,184.490128
33,55,255.762430
33,56,321.363210
33,60,293.540276
33,61,247.950285
33,62,232.239597
33,63,227.836313
33,64,285.754270
33,67,407.915751
33,68,501.537633
33,70,341.990392
33,72,311.396159
33,73,298.223813
33,74,361.387033
33,76,437.170312
33,77,483.171513
33,81,401.252509
33,82,370.944175
33,84,398.230708
33,86,492.868385
33,87,532.051746
33,88,561.376503
33,89,643.368075
33,94,482.118132
34,35,82.390580
34,36,153.814126
34,37,229.698862
34,38,327.680658
34,39,394.788424
34,41,247.732983
34,44,83.063903
34,45,112.212458
34,46,169.102943
34,47,240.347104
34,49,427.031192
34,50,334.066136
34,52,219.171670
34,53,160.165844
34,54,156.348289
34,55,209.818625
34,56,248.609183
34,60,371.703091
34,61,314.765529
34,62,263.071780
34,63,237.842436
34,64,265.274841
34,67,341.627117
34,68,425.841185
34,70,405.901872
34,72,338.511216
34,73,310.464450
34,74,342.870482
34,76,385.860419
34,77,421.980809
34,81,445.407833
34,82,400.184534
34,84,383.969697
34,86,452.012924
34,87,478.515286
34,88,499.688181
34,89,577.378131
34,94,468.875957
35,36,72.198556
35,37,147.333507
35,38,245.421859
35,39,312.398449
35,41,323.690625
35,44,105.135894
35,45,76.471972
35,46,101.658510
35,47,166.463786
35,49,346.390124
35,50,405.924590
35,52,268.496159
35,53,192.125330
35,54,162.902371
35,55,186.940927
35,56,190.556892
35,60,436.948022
35,61,373.562576
35,62,300.111480
35,63,261.955369
35,64,260.628052
35,67,286.114004
35,68,358.887961
35,70,459.962623
35,72,367.673673
35,73,329.751199
35,74,333.810436
35,76,343.698858
35,77,369.055384
35,81,483.426226
35,82,428.101221
35,84,376.425864
35,86,417.518822
35,87,431.476545
35,88,444.627976
35,89,517.305556
35,94,458.774542
36,37,78.827118
36,38,174.157242
36,39,242.159942
36,41,395.274523
36,44,167.360524
36,45,115.330533
36,46,88.478121
36,47,124.423380
36,49,282.385275
36,50,476.085317
36,52,330.651774
36,53,249.334570
36,54,209.291055
36,55,208.717608
36,56,172.827224
36,60,504.324877
36,61,438.447859
36,62,355.227839
36,63,311.124362
36,64,290.409116
36,67,263.819646
36,68,318.237672
36,70,521.697170
36,72,416.359140
36,73,373.186802
36,74,356.116941
36,76,334.253725
36,77,346.375081
36,81,535.615689
36,82,474.693022
36,84,398.310719
36,86,413.434046
36,87,413.728408
36,88,417.331361
36,89,482.634442
36,94,476.102668
37,38,99.780726
37,39,165.163483
37,41,463.894613
37,44,227.104481
37,45,164.129700
37,46,104.213436
37,47,83.818489
37,49,204.036497
37,50,540.389330
37,52,383.629415
37,53,299.064487
37,54,250.435331
37,55,225.535140
37,56,152.283859
37,60,562.877094
37,61,493.506251
37,62,398.656399
37,63,349.078824
37,64,308.283690
37,67,226.543650
37,68,258.188978
37,70,571.061396
37,72,450.386315
37,73,402.289057
37,74,362.316181
37,76,306.848050
37,77,304.084479
37,81,571.771310
37,82,504.887003
37,84,402.315072
37,86,388.553603
37,87,374.322108
37,88,367.988478
37,89,424.859925
37,94,472.643094
38,39,69.699203
38,41,563.658133
38,44,326.226145
38,45,262.038645
38,46,197.075251
38,47,146.989324
38,49,132.421501
38,50,639.537117
38,52,479.760186
38,53,394.777260
38,54,343.649569
38,55,307.169942
38,56,214.122588
38,60,660.328140
38,61,589.856747
38,62,490.366362
38,63,438.644645
38,64,386.505316
38,67,257.023357
38,68,245.623405
38,70,664.483766
38,72,536.025575
38,73,485.533910
38,74,429.322974
38,76,342.189591
38,77,319.116632
38,81,657.444139
38,82,587.232824
38,84,465.964826
38,86,422.114774
38,87,388.942990
38,88,367.117217
38,89,405.616786
38,94,527.002796
39,41,626.405909
39,44,387.189370
39,45,321.564493
39,46,253.428021
39,47,191.938736
39,49,81.377421
39,50,699.457435
39,52,534.889858
39,53,450.009615
39,54,396.721742
39,55,351.226006
39,56,250.129423
39,60,716.688214
39,61,644.740123
39,62,540.205870
39,63,486.839411
39,64,425.786630
39,67,269.152039
39,68,228.705416
39,70,715.195967
39,72,579.411360
39,73,527.308384
39,74,458.929543
39,76,352.126817
39,77,316.197488
39,81,699.871864
39,82,627.082243
39,84,492.203577
39,86,427.632487
39,87,382.362283
39,88,350.627562
39,89,374.953965
39,94,545.014643
41,44,239.836290
41,45,306.118229
41,46,375.901016
41,47,446.318514
41,49,642.636837
41,50,92.010386
41,52,143.789345
41,53,200.974136
41,54,254.573605
41,55,327.641646
41,56,420.381473
41,60,147.466091
41,61,131.050824
41,62,195.250346
41,63,228.296727
41,64,315.982818
41,67,489.908924
41,68,594.063882
41,70,216.686736
41,72,258.621772
41,73,274.159479
41,74,375.047623
41,76,493.272033
41,77,551.928037
41,81,304.851987
41,82,304.201167
41,84,400.176731
41,86,528.008763
41,87,585.331964
41,88,626.859805
41,89,713.149701
41,94,473.670705
44,45,66.325612
44,46,136.233982
44,47,207.717776
44,49,403.716938
44,50,313.330648
44,52,164.023552
44,53,87.675523
44,54,73.293923
44,55,132.113054
44,56,193.627425
44,60,337.552595
44,61,271.093886
44,62,195.634322
44,63,161.454615
44,64,182.233070
44,67,279.369801
44,68,373.708362
44,70,355.532256
44,72,265.895536
44,73,232.494510
44,74,259.881729
44,76,312.631169
44,77,355.499806
44,81,379.366991
44,82,327.125501
44,84,300.907455
44,86,374.168763
44,87,406.947871
44,88,433.751532
44,89,515.067539
44,94,385.826693
45,46,69.938012
45,47,141.959028
45,49,337.582230
45,50,378.040853
45,52,219.988641
45,53,136.230295
45,54,94.043594
45,55,110.860736
45,56,137.161252
45,60,398.761408
45,61,329.596280
45,62,240.349940
45,63,195.857030
45,64,184.672516
45,67,229.425721
45,68,316.259053
45,70,409.264629
45,72,301.297162
45,73,259.458843
45,74,257.341978
45,76,276.459534
45,77,309.930057
45,81,420.290401
45,82,360.170258
45,84,299.962540
45,86,346.599898
45,87,367.750526
45,88,387.524408
45,89,465.314432
45,94,382.367773
46,47,72.952482
46,49,267.719329
46,50,446.245197
46,52,282.790969
46,53,197.771096
46,54,146.977934
46,55,125.418242
46,56,90.358087
46,60,463.890825
46,61,392.889863
46,62,294.795947
46,63,244.868660
46,64,208.616031
46,67,185.530539
46,68,258.425369
46,70,467.990368
46,72,346.512276
46,73,299.200364
46,74,269.946795
46,76,249.148291
46,77,268.759475
46,81,467.778920
46,82,401.802847
46,84,311.709728
46,86,326.830187
46,87,333.102856
46,88,343.496993
46,89,415.652793
46,94,388.203040
47,49,196.318331
47,50,513.362353
47,52,344.559686
47,53,260.237590
47,54,205.827097
47,55,160.833540
47,56,70.557784
47,60,526.678066
47,61,453.935400
47,62,348.273595
47,63,295.072169
47,64,239.519023
47,67,144.722547
47,68,194.953252
47,70,523.257289
47,72,389.872459
47,73,338.867428
47,74,285.340101
47,76,223.284119
47,77,225.039044
47,81,511.090754
47,82,440.329837
47,84,323.811974
47,86,304.901072
47,87,294.221283
47,88,293.662895
47,89,358.314807
47,94,391.053065
49,50,708.442629
49,52,536.654091
49,53,453.762093
49,54,398.305045
49,55,340.845866
49,56,235.772233
49,60,718.318272
49,61,644.425080
49,62,532.935750
49,63,478.103862
49,64,405.987133
49,67,225.229144
49,68,160.106509
49,70,706.902652
49,72,561.756948
49,73,508.343466
49,74,426.016886
49,76,301.481579
49,77,255.065045
49,81,679.230588
49,82,603.816806
49,84,454.598054
49,86,370.602992
49,87,316.328720
49,88,278.300724
49,89,295.430560
49,94,497.605256
50,52,177.173366
50,53,255.322942
50,54,311.101133
50,55,377.839791
50,56,478.169329
50,60,65.787472
50,61,97.368943
50,62,207.872376
50,63,255.725481
50,64,346.744719
50,67,536.516964
50,68,643.303694
50,70,150.387974
50,72,247.036230
50,73,279.218711
50,74,391.431199
50,76,526.070710
50,77,589.446181
50,81,254.729168
50,82,276.504501
50,84,407.949607
50,86,547.891425
50,87,613.339057
50,88,660.492195
50,89,747.302870
50,94,470.853882
52,53,85.029177
52,54,138.802771
52,55,201.151940
52,56,303.270233
52,60,182.126603
52,61,110.101106
52,62,59.564002
52,63,84.677910
52,64,174.123759
52,67,359.408170
52,68,466.131167
52,70,191.530673
52,72,137.093508
52,73,136.130089
52,74,231.335758
52,76,353.251610
52,77,414.621104
52,81,228.351820
52,82,195.291140
52,84,257.859662
52,86,384.450018
52,87,443.681743
52,88,487.612938
52,89,574.328883
52,94,334.518978
53,54,55.781723
53,55,126.676651
53,56,223.096817
53,60,266.711706
53,61,195.120837
53,62,108.033312
53,63,77.985242
53,64,131.168851
53,67,288.939849
53,68,393.371805
53,70,273.051766
53,72,179.312232
53,73,150.919426
53,74,205.159624
53,76,297.654460
53,77,352.940961
53,81,291.694804
53,82,240.873330
53,84,241.637979
53,86,343.502599
53,87,391.809025
53,88,429.224933
53,89,514.767001
53,94,325.679965
54,55,75.256073
54,56,167.417310
54,60,320.922893
54,61,248.152565
54,62,148.375539
54,63,101.833526
54,64,109.092189
54,67,236.772196
54,68,339.631794
54,70,321.016703
54,72,207.291706
54,73,166.931793
54,74,186.844834
54,76,254.175422
54,77,304.948305
54,81,326.374202
54,82,266.527374
54,84,227.655053
54,86,308.530552
54,87,349.124672
54,88,382.388397
54,89,466.767482
54,94,312.615741
55,56,105.073943
55,60,379.909248
55,61,305.317156
55,62,192.095602
55,63,137.359863
55,64,83.246661
55,67,162.331317
55,68,266.926591
55,70,366.456083
55,72,229.042645
55,73,178.432272
55,74,148.443053
55,76,181.470965
55,77,229.850780
55,81,350.329625
55,82,280.538954
55,84,191.026335
55,86,242.503591
55,87,276.297907
55,88,307.505217
55,89,391.586384
55,94,272.088411
56,60,483.839900
56,61,409.524496
56,62,297.167567
56,63,242.377222
56,64,175.657439
56,67,95.557260
56,68,180.183507
56,70,471.356315
56,72,329.893789
56,73,277.386903
56,74,215.579693
56,76,161.535061
56,77,178.606053
56,81,449.888976
56,82,376.983618
56,84,253.475375
56,86,241.549392
56,87,242.863146
56,88,254.190351
56,89,329.124766
56,94,320.746328
60,61,74.838254
60,62,193.618162
60,63,247.247121
60,64,335.293823
60,67,531.895856
60,68,639.292308
60,70,87.412283
60,72,211.869772
60,73,253.215200
60,74,368.105094
60,76,511.102771
60,77,576.964482
60,81,195.862679
60,82,229.216326
60,84,378.310518
60,86,523.400223
60,87,593.567313
60,88,644.216403
60,89,730.547587
60,94,433.000509
61,62,119.391451
61,63,172.510651
61,64,261.200515
61,67,457.185583
61,68,564.583282
61,70,94.082561
61,72,149.683663
61,73,184.195020
61,74,298.161700
61,76,438.237526
61,77,503.524343
61,81,173.876262
61,82,181.915764
61,84,312.102614
61,86,454.410757
61,87,522.497985
61,88,571.928418
61,89,658.500097
61,94,373.520097
62,63,55.046698
62,64,141.810047
62,67,338.600674
62,68,445.956103
62,70,175.028817
62,72,79.170248
