timestamp,node_id,log_text
164.974967,13,"Node #13 [ 164.97497] 13.[5,254] Sending NETWORK_UPDATE to [1,254] through 21.[3,254] (selected by Parent)"
164.974967,13,Node #13 [ 164.97497] Sent Join Reply to: 12
164.975015,12,"Node #12 [ 164.97502] ADDRESS RENEW: [3,1] -> [5,254]"
164.975015,12,"Node #12 [ 164.97502] Heard Join Reply from: [5,254]"
164.975015,12,"Node #12 [ 164.97502] 12.[5,1] Sending JOIN_ACK to [5,254] through 13.[5,254] (selected by Neighbors Table)"
164.975039,21,"Node #21 [ 164.97504] ADDRESS RENEW: [3,1] -> [5,254]"
164.975039,21,Node #21 [ 164.97504] Removing 13 from my assigned node ids.
164.975039,21,"Node #21 [ 164.97504] 21.[3,254] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
164.975050,20,"Node #20 [ 164.97505] ADDRESS RENEW: [3,1] -> [5,254]"
173.558823,47,"Node #47 [ 173.55882] Sent Join Request to [4,1]"
173.558858,23,"Node #23 [ 173.55886] Sent Join Request to [4,2]"
173.558873,39,Node #39 [ 173.55887] Heard Join Request from 47
173.558873,39,"Node #39 [ 173.55887] 39.[4,1] Sending NETWORK_REQUEST to [1,254] through 38.[4,254] (selected by Parent)"
173.558920,31,Node #31 [ 173.55892] Heard Join Request from 23
173.558920,31,"Node #31 [ 173.55892] 31.[4,2] Sending NETWORK_REQUEST to [1,254] through 38.[4,254] (selected by Parent)"
173.558940,38,"Node #38 [ 173.55894] 38.[4,254] Sending NETWORK_REQUEST to [1,254] through 30.[2,254] (selected by Parent)"
173.559006,30,"Node #30 [ 173.55901] 30.[2,254] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
173.559009,38,"Node #38 [ 173.55901] 38.[4,254] Sending NETWORK_REQUEST to [1,254] through 30.[2,254] (selected by Parent)"
173.559076,29,"Node #29 [ 173.55908] Sent network reply to [4,1]"
173.559076,29,"Node #29 [ 173.55908] 29.[1,254] Sending NETWORK_REPLY to [4,1] through 30.[2,254] (selected by Networking Table)"
173.559076,30,"Node #30 [ 173.55908] 30.[2,254] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
173.559145,30,"Node #30 [ 173.55914] 30.[2,254] Sending NETWORK_REPLY to [4,1] through 38.[4,254] (selected by Neighbor Network)"
173.559145,29,"Node #29 [ 173.55915] Sent network reply to [4,2]"
173.559145,29,"Node #29 [ 173.55915] 29.[1,254] Sending NETWORK_REPLY to [4,2] through 30.[2,254] (selected by Networking Table)"
173.559212,38,"Node #38 [ 173.55921] 38.[4,254] Sending NETWORK_REPLY to [4,1] through 39.[4,1] (selected by Neighbors Table)"
173.559214,30,"Node #30 [ 173.55921] 30.[2,254] Sending NETWORK_REPLY to [4,2] through 38.[4,254] (selected by Neighbor Network)"
173.559278,39,"Node #39 [ 173.55928] 39.[6,254] Sending NETWORK_UPDATE to [1,254] through 38.[4,254] (selected by Parent)"
173.559278,39,Node #39 [ 173.55928] Sent Join Reply to: 47
173.559281,38,"Node #38 [ 173.55928] 38.[4,254] Sending NETWORK_REPLY to [4,2] through 31.[4,2] (selected by Neighbors Table)"
173.559328,47,"Node #47 [ 173.55933] ADDRESS RENEW: [4,1] -> [6,254]"
173.559328,47,"Node #47 [ 173.55933] Heard Join Reply from: [6,254]"
173.559328,47,"Node #47 [ 173.55933] 47.[6,1] Sending JOIN_ACK to [6,254] through 39.[6,254] (selected by Neighbors Table)"
173.559345,38,"Node #38 [ 173.55934] ADDRESS RENEW: [4,1] -> [6,254]"
173.559345,38,Node #38 [ 173.55934] Removing 39 from my assigned node ids.
173.559345,38,"Node #38 [ 173.55934] 38.[4,254] Sending NETWORK_UPDATE to [1,254] through 30.[2,254] (selected by Parent)"
173.559370,31,"Node #31 [ 173.55937] 31.[7,254] Sending NETWORK_UPDATE to [1,254] through 38.[4,254] (selected by Parent)"
173.559370,31,Node #31 [ 173.55937] Sent Join Reply to: 23
173.559378,31,"Node #31 [ 173.55938] ADDRESS RENEW: [4,1] -> [6,254]"
173.559412,30,"Node #30 [ 173.55941] 30.[2,254] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
173.559432,23,"Node #23 [ 173.55943] ADDRESS RENEW: [4,2] -> [7,254]"
