timestamp,node_id,event,event_details
6.982788,13,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 6.982787690617149}"
7.100000,28,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 7.1}"
7.389657,32,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 7.389656548135611}"
7.401925,47,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 7.401925245606427}"
7.578393,0,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 7.578393411544755}"
7.982788,13,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 7.982787690617149}"
8.100000,28,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 8.1}"
8.389657,32,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 8.38965654813561}"
8.401925,47,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 8.401925245606426}"
8.578393,0,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 8.578393411544754}"
8.982788,13,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 8.98278769061715}"
9.100000,28,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 9.1}"
9.389657,32,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 9.38965654813561}"
9.401925,47,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 9.401925245606426}"
9.578393,0,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 9.578393411544754}"
9.982788,13,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 9.98278769061715}"
10.100000,28,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 10.1}"
10.389657,32,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 10.38965654813561}"
10.401925,47,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 10.401925245606426}"
10.578393,0,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 10.578393411544754}"
10.982788,13,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 10.98278769061715}"
11.100000,28,ROLE_CHANGE,Roles.ROOT
11.389657,32,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 11.38965654813561}"
11.578393,0,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 11.578393411544754}"
11.982788,13,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 11.98278769061715}"
12.389657,32,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 12.38965654813561}"
12.578393,0,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 12.578393411544754}"
13.389657,32,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 13.38965654813561}"
21.100000,28,PACKET_SENT,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 28, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (581.5014718391535, 521.2070378617059), 'networks': set(), 'ttl': 15, 'create_time': 21.099999999999998}"
31.100000,28,PACKET_SENT,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 28, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (581.5014718391535, 521.2070378617059), 'networks': set(), 'ttl': 15, 'create_time': 31.099999999999998}"
36.116942,25,ARRIVAL,NONE
37.116942,25,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 37.1169418689049}"
38.116942,25,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 38.1169418689049}"
