source_id,target_id,distance
0,1,75.030945
0,2,168.892906
0,3,234.056392
0,4,303.161314
0,5,391.151263
0,6,479.681110
0,7,550.959811
0,8,102.159513
0,9,124.285476
0,10,217.651224
0,11,260.399586
0,12,330.088543
0,13,405.150833
0,14,450.560712
0,15,540.478737
0,16,154.511588
0,17,199.390603
0,18,235.225211
0,19,307.632605
0,20,359.638038
0,21,420.199920
0,22,504.016155
0,23,584.336353
0,24,222.035568
0,25,236.143620
0,26,300.638601
0,27,364.117694
0,28,434.915271
0,29,488.870516
0,30,510.584906
0,31,624.650531
0,32,289.126085
0,33,315.754651
0,34,370.646585
0,35,409.257887
0,36,440.038067
0,37,504.106211
0,38,590.625846
0,39,660.774578
0,40,366.345483
0,41,397.834391
0,42,448.196436
0,43,466.491119
0,44,548.050356
0,45,589.178746
0,46,623.131872
0,47,704.438640
0,48,473.359130
0,49,488.664403
1,2,98.859542
1,3,163.599508
1,4,231.969521
1,5,318.274415
1,6,406.163609
1,7,477.433965
1,8,131.454897
1,9,98.276421
1,10,165.850718
1,11,193.757913
1,12,261.003783
1,13,334.828151
1,14,380.185444
1,15,470.225454
1,16,178.668424
1,17,194.798876
1,18,204.681453
1,19,255.572884
1,20,305.657640
1,21,360.293045
1,22,437.807376
1,23,518.537762
1,24,241.904300
1,25,228.063380
1,26,269.001945
1,27,321.993626
1,28,383.648668
1,29,432.274934
1,30,451.001391
1,31,562.072376
1,32,299.961558
1,33,304.105380
1,34,352.482597
1,35,373.461640
1,36,397.010051
1,37,455.753480
1,38,538.356176
1,39,602.645908
1,40,372.274405
1,41,396.565778
1,42,431.377152
1,43,433.987066
1,44,510.166151
1,45,544.930384
1,46,575.543157
1,47,653.495389
1,48,483.372436
1,49,485.303753
2,3,65.225795
2,4,134.270133
2,5,222.799072
2,6,311.880483
2,7,383.051160
2,8,179.436754
2,9,100.906900
2,10,90.227748
2,11,95.457659
2,12,162.224236
2,13,236.560694
2,14,281.971763
2,15,371.984466
2,16,208.478075
2,17,185.359526
2,18,155.918780
2,19,170.127159
